ShortName	FullName
CAREBAC	Carex backii
CAREBAI	Carex baileyi
CAREBEB	Carex bebbii
CAREBIC	Carex bicolor
CAREBIG	Carex bigelowii
CAREB-B	Carex bigelowii subsp. bigelowii
CAREBIL	Carex billingsii
CAREBLA	Carex blanda
CAREBRE	Carex brevior
CAREBRO	Carex bromoides
CAREB-R	Carex bromoides subsp. bromoides
CAREBRU	Carex brunnescens
CAREB-U	Carex brunnescens subsp. brunnescens
CAREB-S	Carex brunnescens subsp. sphaerostachya
CAREBUX	Carex buxbaumii
CARECAN	Carex canescens
CAREC-C	Carex canescens subsp. canescens
CAREC-D	Carex canescens subsp. disjuncta
CARECAP	Carex capillaris
CAREC-A	Carex capillaris subsp. capillaris
CARECAI	Carex capitata
CARECAS	Carex castanea
CARECEP	Carex cephaloidea
CARECEH	Carex cephalophora
CARECOM	Carex communis
CAREC;C	Carex communis var. communis
CARECOO	Carex comosa
CARECON	Carex concinna
CARECOI	Carex conoidea
CARECRA	Carex crawei
CARECRW	Carex crawfordii
CARECRI	Carex crinita
CAREC;R	Carex crinita var. crinita
CARECRS	Carex cristatella
CARECRY	Carex cryptolepis
CARECUM	Carex cumulata
CAREDEB	Carex debilis
CARED;R	Carex debilis var. rudgei
CAREDEF	Carex deflexa
CARED;D	Carex deflexa var. deflexa
CAREDEM	Carex demissa
CARED-D	Carex demissa subsp. demissa
CAREDEW	Carex deweyana
CARED;C	Carex deweyana var. collectanea
CARED;E	Carex deweyana var. deweyana
CAREDIA	Carex diandra
CAREDIG	Carex digitalis
CARED;I	Carex digitalis var. digitalis
CAREDIS	Carex disperma
CAREDIT	Carex disticha
CAREEBU	Carex eburnea
CAREECH	Carex echinata
CAREE-E	Carex echinata subsp. echinata
CAREEXI	Carex exilis
CAREFLA	Carex flacca
CAREF-F	Carex flacca subsp. flacca
CAREFLV	Carex flava
CAREFOE	Carex foenea
CAREFOL	Carex folliculata
CAREFOR	Carex formosa
CAREFUL	Carex fuliginosa
CAREGAR	Carex garberi
CAREGLA	Carex glacialis
CAREGLR	Carex glareosa
CAREG-G	Carex glareosa subsp. glareosa
CAREGRA	Carex gracillima
CAREGRN	Carex granularis
CAREGRY	Carex grayi
CAREGRI	Carex grisea
CAREGYN	Carex gynandra
CAREHAY	Carex haydenii
CAREHEL	Carex heleonastes
CAREH-H	Carex heleonastes subsp. heleonastes
CAREHIR	Carex hirsutella
CAREHIT	Carex hirta
CAREHII	Carex hirtifolia
CAREHIC	Carex hitchcockiana
CAREHOL	Carex holostoma
CAREHOR	Carex hormathodes
CAREHOS	Carex hostiana
CAREHOU	Carex houghtoniana
CAREHYS	Carex hystericina
CARECHO	Carex chordorrhiza
CAREINT	Carex interior
CAREINU	Carex intumescens
CAREKRA	Carex krauseorum
CAREK-P	Carex krauseorum subsp. porsildiana
CARELAC	Carex lacustris
CARELAH	Carex lachenalii
CAREL-L	Carex lachenalii subsp. lachenalii
CARELAP	Carex lapponica
CARELAS	Carex lasiocarpa
CAREL;A	Carex lasiocarpa var. americana
CAREL;L	Carex lasiocarpa var. lasiocarpa
CARELAX	Carex laxiflora
