ShortName	FullName
ARTEDRA	Artemisia dracunculus
ARTEL-L	Artemisia ludoviciana ssp. ludoviciana
ARTEPAN	Artemisia pancicii
ARTEPON	Artemisia pontica
ARTEREP	Artemisia repens
ARTESCO	Artemisia scoparia
ARTESIV	Artemisia siversiana
ARTE-SP	Artemisia species
ARTETOU	Artemisia tournefortiana
ARTEVER	Artemisia verlotiorum
ARTEVUL	Artemisia vulgaris
ARTE#VU	Artemisia vulgaris agg.
ARTHBUE	Arthonia bueriana
ARTHBYS	Arthonia byssacea
ARTHCAE	Arthonia caesia
ARTHCAL	Arthonia calcicola
ARTHCIN	Arthonia cinereopruinosa
ARTHCIA	Arthonia cinnabarina
ARTHCLE	Arthonia clemens
ARTHDES	Arthonia destruens
ARTHDID	Arthonia didyma
ARTHDIS	Arthonia dispersa
ARTHELE	Arthonia elegans
ARTHEND	Arthonia endlicheri
ARTHEPI	Arthonia epiphyscia
ARTHERI	Arthonia ericetorum
ARTHEXI	Arthonia exilis
ARTHFUL	Arthonia fuliginosa
ARTHFUS	Arthonia fusca
ARTHFUC	Arthonia fuscopurpurea
ARTHGAL	Arthonia galactites
ARTHGLA	Arthonia glaucomaria
ARTHHYP	Arthonia hypnophila
ARTHINC	Arthonia incarnata
ARTHINS	Arthonia insitiva
ARTHINT	Arthonia intexta
ARTHLAP	Arthonia lapidicicola
ARTHLEU	Arthonia leucodontis
ARTHLEC	Arthonia leucopellaea
ARTHLOB	Arthonia lobata
ARTHMED	Arthonia mediella
ARTHMOL	Arthonia molendoi
ARTHNEP	Arthonia nephromiaria
ARTHPAT	Arthonia patellulata
ARTHPRU	Arthonia pruinata
ARTHPUN	Arthonia punctiformis
ARTHRAD	Arthonia radiata
ARTHREN	Arthonia reniformis
ARTHRUB	Arthonia rubescens
ARTHSPA	Arthonia spadicea
ARTH-SP	Arthonia species
ARTHSTE	Arthonia stellaris
ARTHSUB	Arthonia subcerasi
ARTHTEN	Arthonia tenellula
ARTHVIN	Arthonia vinosa
ARTOANA	Arthopyrenia analepta
ARTOANT	Arthopyrenia antecellens
ARTOARN	Arthopyrenia arnoldii
ARTOCEM	Arthopyrenia cembrina
ARTOCER	Arthopyrenia cerasi
ARTOCIN	Arthopyrenia cinereopruinosa
ARTOGRI	Arthopyrenia grisea
ARTOINC	Arthopyrenia inconspicuaris
ARTOLAB	Arthopyrenia laburni
ARTOLAP	Arthopyrenia lapponica
ARTOMEG	Arthopyrenia megalospora
ARTOMIC	Arthopyrenia microspila
ARTOPER	Arthopyrenia persoonii
ARTOPUN	Arthopyrenia punctiformis
ARTORHO	Arthopyrenia rhododendri
ARTORHY	Arthopyrenia rhyponta
ARTOSAX	Arthopyrenia saxicola
ARTO-SP	Arthopyrenia species
ARTOSTE	Arthopyrenia stenopora
ARTOSUB	Arthopyrenia submicans
ARTTRUA	Arthothelium ruanum
ARTT-SP	Arthothelium species
ARTTSPE	Arthothelium spectabile
ARTRALP	Arthrorhaphis alpina
ARTRCIT	Arthrorhaphis citrinella
ARTRC;C	Arthrorhaphis citrinella var. citrinella
ARTRGRI	Arthrorhaphis grisea
ARTR-SP	Arthrorhaphis species
ARTRVAC	Arthrorhaphis vacillans
ARTSPOP	Arthrosporum populorum
