"ShortName"	"FullName"
"AMARCRI"	"Amaranthus crispus"
"AMAR#CR"	"Amaranthus crispus agg."
"AMARCRU"	"Amaranthus cruentus s.str."
"AMARDEF"	"Amaranthus deflexus"
"AMAREMA"	"Amaranthus emarginatus"
"AMARGRA"	"Amaranthus graecizans"
"AMAR#HY"	"Amaranthus hybridus agg."
"AMARHYB"	"Amaranthus hybridus s.str."
"AMARHYP"	"Amaranthus hypochondriacus"
"AMARPAL"	"Amaranthus palmeri"
"AMARPOW"	"Amaranthus powellii"
"AMARQUI"	"Amaranthus quitensis"
"AMARRET"	"Amaranthus retroflexus"
"AMARSTA"	"Amaranthus standleyanus"
"AMARRUD"	"Amaranthus rudis"
"AMARTUB"	"Amaranthus tuberculatus"
"AMARVIR"	"Amaranthus viridis"
"AMARACU"	"Amaranthus acutilobus"
"AMARSPI"	"Amaranthus spinosus"
"AMAR-SP"	"Amaranthus species"
"AMBEMOS"	"Amberboa moschata"
"AMBE-SP"	"Amberboa species"
"AMBLDEA"	"Amblyodon dealbatus"
"AMBL-SP"	"Amblyodon species"
"AMBYCOM"	"Amblystegium compactum"
"AMBYFLU"	"Amblystegium fluviatile"
"AMBYHUM"	"Amblystegium humile"
"AMBYSAX"	"Amblystegium saxatile"
"AMBYSER"	"Amblystegium serpens"
"AMBYTEN"	"Amblystegium tenax"
"AMBYVAR"	"Amblystegium varium"
"AMBY-SP"	"Amblystegium species"
"AMBRART"	"Ambrosia artemisiifolia"
"AMBRTRI"	"Ambrosia trifida"
"AMBR-SP"	"Ambrosia species"
"AMELLAM"	"Amelanchier lamarckii"
"AMELOVA"	"Amelanchier ovalis"
"AMELSPI"	"Amelanchier spicata"
"AMEL-SP"	"Amelanchier species"
"AMMIMAJ"	"Ammi majus"
"AMMIVIS"	"Ammi visnaga"
"AMMI-SP"	"Ammi species"
"AMORFRU"	"Amorpha fruticosa"
"AMOR-SP"	"Amorpha species"
"AMPHLAP"	"Amphidium lapponicum"
"AMPHMOU"	"Amphidium mougeottii"
"AMPH-SP"	"Amphidium species"
"AMYGCON"	"Amygdalaria consentiens"
"AMYGPAN"	"Amygdalaria panaeola"
"AMYG-SP"	"Amygdalaria species"
"ANACPYR"	"Anacamptis pyramidalis"
"ANAC-SP"	"Anacamptis species"
"ANAASPL"	"Anacamptodon splachnoides"
"ANAA-SP"	"Anacamptodon species"
"ANAOWEB"	"Anacolia webbii"
"ANAO-SP"	"Anacolia species"
"ANAYCLA"	"Anacyclus clavatus"
"ANAYVAL"	"Anacyclus valentinus"
"ANAY-SP"	"Anacyclus species"
"ANAGARV"	"Anagallis arvensis"
"ANAGFOE"	"Anagallis foemina"
"ANAGTEN"	"Anagallis tenella"
"ANAGMON"	"Anagallis monellii"
"ANAG-SP"	"Anagallis species"
"ANAPMAR"	"Anaphalis margaritacea"
"ANAP-SP"	"Anaphalis species"
"ANATBRY"	"Anaptychia bryorum"
"ANATCIL"	"Anaptychia ciliaris"
"ANATCRI"	"Anaptychia crinalis"
"ANAT-SP"	"Anaptychia species"
"ANASORC"	"Anastrepta orcadensis"
"ANAS-SP"	"Anastrepta species"
"ANARASS"	"Anastrophyllum assimile"
"ANARCAV"	"Anastrophyllum cavifolium"
"ANARDON"	"Anastrophyllum donnianum"
"ANARHEL"	"Anastrophyllum hellerianum"
"ANARJOE"	"Anastrophyllum joergensenii"
"ANARMIC"	"Anastrophyllum michauxii"
"ANARMIN"	"Anastrophyllum minutum"
"ANARSAX"	"Anastrophyllum saxicola"
"ANARSPH"	"Anastrophyllum sphenoloboides"
"ANAR-SP"	"Anastrophyllum species"
"ANCHARV"	"Anchusa arvensis"
"ANCH#AR"	"Anchusa arvensis agg."
"ANCHAZU"	"Anchusa azurea"
"ANCHOCH"	"Anchusa ochroleuca"
"ANCHOFF"	"Anchusa officinalis"
"ANCHOVA"	"Anchusa ovata"
"ANCH-SP"	"Anchusa species"
"ANDRALP"	"Andreaea alpestris"
"ANDRALI"	"Andreaea alpina"
"ANDRBLY"	"Andreaea blytii"
"ANDRCRA"	"Andreaea crassinervia"
"ANDRFRI"	"Andreaea frigida"
"ANDRHEI"	"Andreaea heinemannii"
