Number	ShortName	FullName
897	ARTHFUS	Arthonia fusca
898	ARTHFUC	Arthonia fuscopurpurea
899	ARTHGAL	Arthonia galactites
900	ARTHGLA	Arthonia glaucomaria
901	ARTHHYP	Arthonia hypnophila
902	ARTHINC	Arthonia incarnata
903	ARTHINS	Arthonia insitiva
904	ARTHINT	Arthonia intexta
905	ARTHLAP	Arthonia lapidicicola
906	ARTHLEU	Arthonia leucodontis
907	ARTHLEC	Arthonia leucopellaea
908	ARTHLOB	Arthonia lobata
909	ARTHMED	Arthonia mediella
910	ARTHMOL	Arthonia molendoi
911	ARTHNEP	Arthonia nephromiaria
912	ARTHPAT	Arthonia patellulata
913	ARTHPRU	Arthonia pruinata
914	ARTHPUN	Arthonia punctiformis
915	ARTHRAD	Arthonia radiata
916	ARTHREN	Arthonia reniformis
917	ARTHRUB	Arthonia rubescens
918	ARTHSPA	Arthonia spadicea
919	ARTHSTE	Arthonia stellaris
920	ARTHSUB	Arthonia subcerasi
921	ARTHTEN	Arthonia tenellula
922	ARTHVIN	Arthonia vinosa
923	ARTH-SP	Arthonia species
924	ARTOANA	Arthopyrenia analepta
925	ARTOANT	Arthopyrenia antecellens
926	ARTOARN	Arthopyrenia arnoldii
927	ARTOCEM	Arthopyrenia cembrina
928	ARTOCER	Arthopyrenia cerasi
929	ARTOCIN	Arthopyrenia cinereopruinosa
930	ARTOGRI	Arthopyrenia grisea
931	ARTOINC	Arthopyrenia inconspicuaris
932	ARTOLAB	Arthopyrenia laburni
933	ARTOLAP	Arthopyrenia lapponica
934	ARTOMEG	Arthopyrenia megalospora
935	ARTOMIC	Arthopyrenia microspila
936	ARTOPER	Arthopyrenia persoonii
937	ARTOPUN	Arthopyrenia punctiformis
938	ARTORHO	Arthopyrenia rhododendri
939	ARTORHY	Arthopyrenia rhyponta
940	ARTOSAX	Arthopyrenia saxicola
941	ARTOSTE	Arthopyrenia stenopora
942	ARTOSUB	Arthopyrenia submicans
943	ARTO-SP	Arthopyrenia species
944	ARTTRUA	Arthothelium ruanum
945	ARTTSPE	Arthothelium spectabile
946	ARTT-SP	Arthothelium species
947	ARTRALP	Arthrorhaphis alpina
948	ARTRCIT	Arthrorhaphis citrinella
949	"ARTRC;C"	Arthrorhaphis citrinella var. citrinella
950	ARTRGRI	Arthrorhaphis grisea
951	ARTRVAC	Arthrorhaphis vacillans
952	ARTR-SP	Arthrorhaphis species
953	ARTSPOP	Arthrosporum populorum
954	ARTS-SP	Arthrosporum species
955	ARUMCYL	Arum cylindraceum
956	ARUM#MA	Arum maculatum agg.
